experiment_id;dataset;model;fine_tuning_strategy;imblearn_strategy;accuracy;precision;recall;f1-score
11;D3;BoW_SVM;None;Over;0.7694038245219348;0.7707353002953654;0.7694038245219348;0.7694532169896988
11;D3;WE_MLP;None;Over;0.7210348706411699;0.7177264836567954;0.7210348706411699;0.7179676580742628
11;D3;BERTimbau Base;Full;Over;0.8672665916760405;0.868868710287414;0.8672665916760405;0.8665655306093963
12;D4;BoW_SVM;None;Over;0.7199100112485939;0.7366921025079318;0.7199100112485939;0.7196514848927398
12;D4;BERTimbau Base;Full;Over;0.8335208098987626;0.8382364174296891;0.8335208098987626;0.8326861155494368
12;D4;WE_SVM;None;Over;0.6951631046119235;0.7124801066611172;0.6951631046119235;0.6986647799625174
12;D4;WE_MLP;None;Over;0.6794150731158605;0.6929957425446406;0.6794150731158605;0.6742416211530897
13;D5;BoW_SVM;None;None;0.5574534161490683;0.7235102872105299;0.5574534161490683;0.5824074935054407
13;D5;WE_SVM;None;None;0.5869565217391305;0.6546145520545255;0.5869565217391305;0.5978425131110261
13;D5;WE_MLP;None;None;0.531055900621118;0.624806110751237;0.531055900621118;0.5362609004539751
13;D5;BERTimbau Base;Full;None;0.8229813664596274;0.831265016733859;0.8229813664596274;0.8229789378552765
14;D5;BoW_SVM;None;Under;0.5978260869565217;0.6950696714515201;0.5978260869565217;0.6225655696459338
14;D5;WE_SVM;None;Under;0.5248447204968945;0.5936527641411659;0.5248447204968945;0.5256595207134719
14;D5;WE_MLP;None;Under;0.36490683229813664;0.41319755524631796;0.36490683229813664;0.35903783915525805
14;D5;BERTimbau Base;Full;Under;0.8198757763975155;0.8329064374876345;0.8198757763975155;0.8172523531180709
15;D5;BoW_SVM;None;Over;0.5574534161490683;0.7235102872105299;0.5574534161490683;0.5824074935054407
15;D5;WE_SVM;None;Over;0.593167701863354;0.6537986766773222;0.593167701863354;0.6019019082683933
15;D5;WE_MLP;None;Over;0.6040372670807453;0.6697454582614046;0.6040372670807453;0.6133786636238545
15;D5;BERTimbau Base;Full;Over;0.8322981366459627;0.8357795305619384;0.8322981366459627;0.8322064903794529
16;D4;Albertina;PEFT;None;0.8402699662542182;0.8571299859211734;0.8402699662542182;0.8426624448860464
16;D4;BERTimbau Base;PEFT;None;0.78177727784027;0.7891225836426279;0.78177727784027;0.7766382233466469
16;D4;BERTimbau Large;PEFT;None;0.8323959505061868;0.8379064139109369;0.8323959505061868;0.8296514994244082
17;D4;Albertina;PEFT;Under;0.8335208098987626;0.8412396048807154;0.8335208098987626;0.8337764243501734
17;D4;BERTimbau Large;PEFT;Under;0.7975253093363329;0.7998187368434015;0.7975253093363329;0.7926935527957356
17;D4;BERTimbau Base;PEFT;Under;0.7041619797525309;0.7155351245713926;0.7041619797525309;0.6767457338083602
18;D4;Albertina;PEFT;Over;0.8515185601799775;0.8572249065302258;0.8515185601799775;0.8518651075621766
18;D4;BERTimbau Large;PEFT;Over;0.8368953880764904;0.8447813566851091;0.8368953880764904;0.8375381679589823
18;D4;BERTimbau Base;PEFT;Over;0.8177727784026997;0.8278784116631377;0.8177727784026997;0.8193507146816115
19;D5;Albertina;PEFT;None;0.8245341614906833;0.8321965853377573;0.8245341614906833;0.8250815932656008
19;D5;BERTimbau Base;PEFT;None;0.7437888198757764;0.7792307976419568;0.7437888198757764;0.7412009923840808
19;D5;BERTimbau Large;PEFT;None;0.8105590062111802;0.81946321583781;0.8105590062111802;0.8097629123800761
20;D5;Albertina;PEFT;Under;0.8322981366459627;0.8405995649193845;0.8322981366459627;0.832111644115068
20;D5;BERTimbau Base;PEFT;Under;0.6475155279503105;0.7128230375318229;0.6475155279503105;0.6139626946092599
20;D5;BERTimbau Large;PEFT;Under;0.7484472049689441;0.7592740492778369;0.7484472049689441;0.7404928689365722
21;D5;BERTimbau Large;PEFT;Over;0.8152173913043478;0.8232723475646858;0.8152173913043478;0.816222483929134
21;D5;BERTimbau Base;PEFT;Over;0.8074534161490683;0.816377653235028;0.8074534161490683;0.8040677573919804
21;D5;Albertina;PEFT;Over;0.7981366459627329;0.8263336559941251;0.7981366459627329;0.8044183338783595
